"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"11 Mar 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"SINTESI BS";"IT0005072191";"MLSNW";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"SINTESI SpA";"IT0005072167";"MLSNT";"Marché Libre Paris";"EUR";"3,30";"3,30";"3,30";"3,30";"06/11/2015 15:00";"CET";"12";"39,60"
"SIOEN";"BE0003743573";"SIOE";"Euronext Brussels";"EUR";"27,00";"27,25";"27,00";"27,08";"10/03/2017 17:35";"CET";"2580";"69946,09"
"SIPEF";"BE0003898187";"SIP";"Euronext Brussels";"EUR";"66,80";"67,00";"66,70";"67,00";"10/03/2017 17:35";"CET";"9341";"624517,00"
"SLIGRO FOOD GROUP";"NL0000817179";"SLIGR";"Euronext Amsterdam";"EUR";"34,85";"35,10";"34,75";"35,10";"10/03/2017 17:35";"CET";"56217";"1967187,835"
"SMALTO";"FR0011131788";"MLSML";"Marché Libre Paris";"EUR";"0,07";"0,07";"0,07";"0,07";"10/03/2017 15:00";"CET";"2200";"154,00"
"SMALTO BSA";"FR0010649228";"SMLBS";"Marché Libre Paris";"EUR";"0,04";"0,04";"0,04";"0,04";"27/12/2016 15:30";"CET";"115298";"4611,92"
"SMARTPHOTO GROUP";"BE0003663748";"SMAR";"Euronext Brussels";"EUR";"1,661";"1,696";"1,66";"1,662";"10/03/2017 15:48";"CET";"15017";"25164,59"
"SMTPC";"FR0004016699";"SMTPC";"Euronext Paris";"EUR";"23,73";"23,75";"23,49";"23,75";"10/03/2017 17:35";"CET";"2218";"52458,10"
"SNOWWORLD";"NL0010627865";"SNOW";"Euronext Amsterdam";"EUR";"9,376";"9,376";"9,161";"9,163";"10/03/2017 15:48";"CET";"2082";"19446,951"
"SOC FRANC CASINOS";"FR0010209809";"SFCA";"Euronext Paris";"EUR";"1,90";"1,90";"1,90";"1,90";"08/03/2017 16:30";"CET";"400";"760,00"
"SOCIETE GENERALE";"FR0000130809";"GLE";"Euronext Paris";"EUR";"47,00";"48,24";"46,935";"47,75";"10/03/2017 17:36";"CET";"5702563";"272437996,025"
"SODEXO";"FR0000121220";"SW";"Euronext Paris";"EUR";"104,85";"106,20";"104,75";"104,85";"10/03/2017 17:35";"CET";"282212";"30783634,55"
"SODIFRANCE";"FR0000072563";"SOA";"Euronext Paris";"EUR";"19,00";"19,00";"19,00";"19,00";"09/03/2017 11:30";"CET";"192";"3648,00"
"SODITECH";"FR0000078321";"SEC";"Euronext Paris";"EUR";"0,69";"0,69";"0,66";"0,66";"08/03/2017 16:30";"CET";"3321";"2273,79"
"SOFIBUS PATRIMOINE";"FR0000038804";"SFBS";"Euronext Paris";"EUR";"112,97";"112,97";"112,97";"112,97";"06/03/2017 11:32";"CET";"216";"24401,52"
"SOFINA";"BE0003717312";"SOF";"Euronext Brussels";"EUR";"134,45";"135,15";"134,05";"134,70";"10/03/2017 17:35";"CET";"28731";"3869650,90"
"SOFRAGI";"FR0000030140";"SOFR";"Euronext Paris";"EUR";"1580,00";"1580,00";"1580,00";"1580,00";"10/03/2017 16:30";"CET";"58";"91640,00"
"SOFT COMPUTING";"FR0000075517";"SFT";"Euronext Paris";"EUR";"15,55";"15,55";"14,31";"14,80";"10/03/2017 17:35";"CET";"396";"5958,57"
"SOFTIMAT";"BE0003773877";"SOFT";"Alternext Brussels";"EUR";"2,35";"2,35";"2,35";"2,35";"09/03/2017 15:40";"CET";"150";"352,50"
"SOGECLAIR";"FR0000065864";"SOG";"Euronext Paris";"EUR";"30,46";"30,46";"29,65";"30,11";"10/03/2017 17:35";"CET";"2489";"74804,11"
"SOITEC";"FR0013227113";"SOI";"Euronext Paris";"EUR";"43,40";"44,96";"42,61";"44,31";"10/03/2017 17:35";"CET";"317525";"13984277,99"
"SOLIA";"FR0010480533";"MLSOL";"Marché Libre Paris";"EUR";"20,00";"20,00";"20,00";"20,00";"10/06/2015 15:00";"CET";"10";"200,00"
"SOLOCAL GROUP";"FR0012938884";"LOCAL";"Euronext Paris";"EUR";"1,10";"1,138";"0,98";"0,981";"10/03/2017 17:35";"CET";"15464487";"16185364,19"
"SOLUTIONS 30 SE";"FR0013188844";"ALS30";"Alternext Paris";"EUR";"16,99";"16,99";"16,68";"16,80";"10/03/2017 17:35";"CET";"5613";"94408,87"
"SOLVAC NOM(RETAIL)";"BE0003545531";"SOLV";"Euronext Brussels";"EUR";"118,75";"118,75";"118,65";"118,65";"10/03/2017 14:19";"CET";"96";"11391,65"
"SOLVAY";"BE0003470755";"SOLB";"Euronext Brussels, Paris";"EUR";"111,10";"111,50";"109,25";"109,45";"10/03/2017 17:35";"CET";"272003";"29924883,90"
"SOMFY SA";"FR0000120495";"SO";"Euronext Paris";"EUR";"407,15";"407,45";"400,00";"400,00";"10/03/2017 17:35";"CET";"2763";"1119289,00"
"SONAE";"PTSON0AM0001";"SON";"Euronext Lisbon";"EUR";"0,873";"0,885";"0,854";"0,872";"10/03/2017 16:35";"GMT";"6566482";"5726221,259"
"SONAE CAPITAL";"PTSNP0AE0008";"SONC";"Euronext Lisbon";"EUR";"0,758";"0,76";"0,753";"0,753";"10/03/2017 16:35";"GMT";"120637";"91124,518"
"SONAE IND.SGPS";"PTS3P0AM0017";"SONI";"Euronext Lisbon";"EUR";"0,007";"0,0071";"0,0069";"0,007";"10/03/2017 16:29";"GMT";"3495121";"24374,5349"
"SONAECOM,SGPS";"PTSNC0AM0006";"SNC";"Euronext Lisbon";"EUR";"2,663";"2,749";"2,663";"2,74";"10/03/2017 16:09";"GMT";"6073";"16568,841"
"SONAGI";"PTSNG0AE0007";"SNG";"Easynext Lisbon";"EUR";"1,65";"1,65";"1,65";"1,65";"10/03/2017 15:30";"GMT";"200";"330,00"
"SOPRA STERIA GROUP";"FR0000050809";"SOP";"Euronext Paris";"EUR";"128,90";"130,55";"128,20";"130,40";"10/03/2017 17:35";"CET";"26773";"3467413,65"
"SOPRA STERIA NV";"FR0013233152";"SOPNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"SOURCE GROUP";"CWN814651014";"SOURC";"Euronext Amsterdam";"EUR";"2,148";"2,148";"2,062";"2,062";"10/03/2017 16:13";"CET";"14";"28,954"
"SPADEL";"BE0003798155";"SPA";"Euronext Brussels";"EUR";"122,45";"122,45";"122,45";"122,45";"06/03/2017 16:30";"CET";"2";"244,90"
"SPEED RABBIT PIZZA";"FR0000054371";"MLSRP";"Marché Libre Paris";"EUR";"2,32";"2,32";"2,32";"2,32";"06/03/2017 15:00";"CET";"1000";"2320,00"
"SPIE";"FR0012757854";"SPIE";"Euronext Paris";"EUR";"22,70";"22,70";"21,65";"22,295";"10/03/2017 17:35";"CET";"356880";"7944729,905"
"SPINEGUARD";"FR0011464452";"ALSGD";"Alternext Paris";"EUR";"4,47";"4,57";"4,45";"4,57";"10/03/2017 17:16";"CET";"2279";"10165,99"
"SPINEWAY";"FR0011398874";"ALSPW";"Alternext Paris";"EUR";"2,75";"3,05";"2,75";"2,90";"10/03/2017 15:42";"CET";"8469";"24744,49"
"SPIR COMMUNICATION";"FR0000131732";"SPI";"Euronext Paris";"EUR";"3,64";"3,64";"3,50";"3,53";"21/02/2017 14:59";"CET";"3451";"12183,56"
"SPOREVER";"FR0010213215";"ALSPO";"Alternext Paris";"EUR";"1,18";"1,28";"1,14";"1,24";"10/03/2017 17:06";"CET";"50493";"61622,23"
"SPORTING";"PTSCP0AM0001";"SCP";"Euronext Lisbon";"EUR";"0,60";"0,60";"0,60";"0,60";"10/03/2017 15:30";"GMT";"1";"0,60"
"SQLI";"FR0011289040";"SQI";"Euronext Paris";"EUR";"41,41";"42,03";"41,41";"41,67";"10/03/2017 17:35";"CET";"4890";"204641,78"
"SQLI BSAR042018";"FR0011023274";"SQIBS";"Euronext Paris";"EUR";"2,75";"2,75";"2,75";"2,75";"08/03/2017 09:00";"CET";"200";"550,00"
"ST DUPONT";"FR0000054199";"DPT";"Euronext Paris";"EUR";"0,18";"0,19";"0,18";"0,19";"10/03/2017 17:23";"CET";"12380";"2338,40"
"ST GOBAIN NV";"FR0013228889";"SGONV";"Euronext Paris";"EUR";"45,10";"45,10";"44,61";"44,61";"10/03/2017 17:00";"CET";"5218";"234825,63"
"ST.GUDULE-PL. CERT";"BE0003620318";"SAIG";"Euronext Brussels";"EUR";"180,00";"180,00";"180,00";"180,00";"27/02/2017 15:00";"CET";"8";"1440,00"
"STALLERGENES GREER";"GB00BZ21RF93";"STAGR";"Euronext Paris";"EUR";"31,20";"31,20";"31,00";"31,01";"10/03/2017 17:35";"CET";"1567";"48648,03"
"STE GENERALE NV";"FR0013227196";"GLENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"STEAM FRANCE";"FR0013063559";"MLSTM";"Marché Libre Paris";"EUR";"14,00";"14,00";"14,00";"14,00";"07/01/2016 15:00";"CET";"2";"28,00"
"STEF";"FR0000064271";"STF";"Euronext Paris";"EUR";"76,26";"77,50";"76,25";"77,35";"10/03/2017 17:35";"CET";"660";"50699,28"
"STELAX INDUSTRIES";"CA8584971003";"LAX";"Marché Libre Paris";"EUR";"0,01";"0,01";"0,01";"0,01";"27/02/2017 15:00";"CET";"5000";"50,00"
"STENTYS";"FR0010949404";"STNT";"Euronext Paris";"EUR";"2,43";"2,43";"2,40";"2,42";"10/03/2017 17:35";"CET";"24413";"58901,29"
"STERN GROEP";"NL0000336303";"STRN";"Euronext Amsterdam";"EUR";"20,66";"20,66";"20,45";"20,48";"10/03/2017 16:53";"CET";"3471";"71236,93"
"STMICROELECTRONICS";"NL0000226223";"STM";"Euronext Paris";"EUR";"14,395";"14,40";"14,18";"14,19";"10/03/2017 17:35";"CET";"2293001";"32742120,94"
